CPU(%),Memory(MiB)
0.025763006670088354,123.94597521448999
90.4960201818182,204.0346844613918
339.64131459107807,276.0094871306006
322.8239836930456,296.00921258341276
337.9334627272726,314.0956491897045
337.9334627272726,314.0956491897045
350.61206556886225,335.86028598665393
368.6019381859756,358.6596606291706
368.6019381859756,358.6596606291706
283.6441672727274,377.13656434699715
283.6441672727274,377.13656434699715
345.73086087924315,378.84681029551956
359.1205721929164,381.3262764537655
359.1205721929164,381.3262764537655
347.14020629486464,388.5499180171592
347.14020629486464,388.5499180171592
349.0923949241541,452.8325185891325
337.8655515601023,379.37784556720686
366.1479124928362,380.46724880838894
366.1479124928362,380.46724880838894
348.55773429084445,380.46724880838894
355.50635733672544,380.46724880838894
338.7627667328701,380.46724880838894
344.78896185958257,380.47896282173497
359.56484188440305,381.19351763584365
344.40814154262483,381.79483698760725
342.9042401004308,382.32587225929456
342.9042401004308,382.32587225929456
357.1195728126833,385.85179027645376
362.72792296793386,391.6775595805529
362.72792296793386,391.6775595805529
351.1681813585295,524.658943755958
55.24288872246689,376.92571210676834
0.02230820960753729,376.92571210676834
0.02230820960753729,376.92571210676834
72.41489118749999,378.10492278360346
72.41489118749999,378.10492278360346
286.8692975501113,378.10492278360346
271.3697364564559,378.10492278360346
271.3697364564559,378.10492278360346
285.9920244265357,378.98737845567206
294.1744402370984,412.25127168732126
200.2594114768674,377.71445567206865
0.03125065388121901,377.71445567206865
0.02917693602651706,377.71445567206865
0.02917693602651706,377.71445567206865
0.015799147727464786,377.71445567206865
